sapling.id,site.plot,species,region,tube,livedead,growth,years.grown,max.growth
1,MDI_1,r.cedar,maine,Y,1,-9.5,5.5,2.5
2,MDI_1,tulip,southern,N,1,-15.5,3,3.5
3,MDI_1,r.oak,local,N,1,-40,1.5,0
4,MDI_1,s.gum,southern,N,1,21,5.5,29
5,MDI_1,w.spruce,local,N,1,28.5,5.5,28.5
6,MDI_1,w.oak,maine,Y,1,5.5,3.5,11.5
7,MDI_1,ch.oak,maine,N,1,-8,1.5,0
8,MDI_1,w.pine,local,N,1,41.5,5.5,41.5
9,MDI_1,w.oak,maine,N,1,-12,5.5,5
10,MDI_1,r.oak,local,N,1,-40.1,1.5,0
12,MDI_1,r.cedar,maine,N,1,13.3,5.5,27.3
13,MDI_1,ch.oak,maine,Y,1,-14.3,3,4.2
14,MDI_1,tulip,southern,N,1,-17.7,1.5,4.8
15,MDI_1,w.pine,local,N,1,46.5,5.5,46.5
16,MDI_1,s.gum,southern,N,1,-29.9,5.5,0
17,MDI_1,w.oak,maine,N,1,-3.5,1.5,1
18,MDI_1,tulip,southern,N,1,6.5,1.5,13
19,MDI_1,w.pine,local,N,1,34,5.5,34
20,MDI_1,ch.oak,maine,N,1,-16.5,3.5,10.5
21,MDI_1,r.oak,local,Y,1,-82,3,13
22,MDI_1,s.gum,southern,N,1,,4,21
23,MDI_1,w.spruce,local,N,1,5.5,1.5,5.5
24,MDI_1,r.cedar,maine,N,1,1,1.5,1
25,MDI_1,w.pine,local,N,1,59.5,5.5,59.5
26,MDI_1,r.cedar,maine,N,1,-6.1,5.5,4.9
27,MDI_1,tulip,southern,Y,1,-6.8,5,22.7
28,MDI_1,w.oak,maine,Y,1,-10.6,5.5,14.4
29,MDI_1,s.gum,southern,N,1,-17,3.5,28
30,MDI_1,ch.oak,maine,Y,1,6.4,5.5,10.4
31,MDI_1,r.oak,local,Y,1,-22.9,1.5,0
32,MDI_1,w.spruce,local,N,1,17.4,5.5,17.4
33,MDI_1,s.gum,southern,N,1,40,5.5,40
34,MDI_1,r.oak,local,Y,1,-53.9,5,20
35,MDI_1,r.cedar,maine,N,1,-33.5,2,0
36,MDI_1,w.spruce,local,N,1,13,5.5,13
37,MDI_1,w.oak,maine,N,1,14,3.5,14
38,MDI_1,w.pine,local,N,,60.5,5.5,60.5
39,MDI_1,tulip,southern,N,1,5.5,3.5,10.5
40,MDI_1,ch.oak,maine,N,1,-10,5.5,12
41,MDI_1,w.spruce,local,Y,1,108.9,1.5,108.9
42,MDI_1,r.oak,local,N,1,-25.7,5,0
43,MDI_1,s.gum,southern,N,1,15.5,3.5,15.5
